day,PrecioTotal
2011-06-17,19059.230000000047
2011-06-19,22442.180000000102
2011-06-20,26136.730000000065
2011-06-21,19850.660000000003
2011-06-22,21170.420000000064
2011-06-23,22556.810000000034
2011-06-24,16021.709999999988
2011-06-26,7082.489999999984
2011-06-27,13412.20000000002
2011-06-28,30532.37000000014
2011-06-29,12570.63
2011-06-30,41743.04000000012
2011-07-01,12189.289999999997
2011-07-03,6032.389999999991
2011-07-04,30985.170000000086
2011-07-05,25992.260000000024
2011-07-06,22960.48000000003
2011-07-07,27893.659999999993
2011-07-08,17558.300000000025
2011-07-10,5993.869999999983
2011-07-11,20080.03000000002
2011-07-12,17948.19000000001
2011-07-13,19432.850000000017
2011-07-14,32020.910000000076
2011-07-15,11857.299999999988
2011-07-17,16958.60000000004
2011-07-18,22018.36000000006
2011-07-19,46599.0800000001
2011-07-20,27076.970000000012
2011-07-21,30394.70999999998
2011-07-22,14633.769999999975
2011-07-24,26796.920000000016
2011-07-25,19687.31000000006
2011-07-26,17293.000999999986
2011-07-27,22855.32000000005
2011-07-28,54198.37000000005
2011-07-29,17240.609999999986
2011-07-31,33393.289999999986
2011-08-01,19808.40000000005
2011-08-02,20277.049999999963
2011-08-03,26617.770000000117
2011-08-04,62079.61000000009
2011-08-05,19825.40000000007
2011-08-07,7576.959999999994
2011-08-08,19758.620000000017
2011-08-09,25957.120000000035
2011-08-10,19861.559999999987
2011-08-11,54386.17000000008
2011-08-12,17970.170000000006
2011-08-14,5718.569999999994
2011-08-15,17243.970000000005
2011-08-16,16077.840000000015
2011-08-17,48769.64000000006
2011-08-18,54082.809999999954
2011-08-19,17339.589999999993
2011-08-21,14566.840000000007
2011-08-22,29623.180000000026
2011-08-23,22399.110000000044
2011-08-24,38617.010000000104
2011-08-25,22495.290000000045
2011-08-26,24111.639999999978
2011-08-28,10805.029999999977
2011-08-30,8833.71
2011-08-31,20540.840000000004
2011-09-01,37370.15000000005
2011-09-02,30297.050000000116
2011-09-04,17005.029999999988
2011-09-05,35698.69999999999
2011-09-06,25495.820000000054
2011-09-07,21967.42000000005
2011-09-08,23188.300000000043
2011-09-09,25142.150000000038
2011-09-11,35511.6700000001
2011-09-12,27989.400000000063
2011-09-13,48162.250000000175
2011-09-14,22027.9500000001
2011-09-15,71993.66999999995
2011-09-16,23248.980000000018
2011-09-18,15745.73000000003
2011-09-19,46607.22000000003
2011-09-20,103435.8099999999
2011-09-21,38503.06000000008
2011-09-22,57869.36000000006
2011-09-23,31781.100000000133
2011-09-25,31372.661000000113
2011-09-26,29329.841000000106
2011-09-27,29274.36000000001
2011-09-28,39057.88999999994
2011-09-29,44729.37000000005
2011-09-30,40033.439999999995
2011-10-02,11582.950000000012
2011-10-03,62275.95000000008
2011-10-04,38690.20000000009
2011-10-05,74108.42999999966
2011-10-06,60387.79999999997
2011-10-07,49187.66999999986
2011-10-09,12466.810000000007
2011-10-10,43080.32000000007
2011-10-11,46436.770000000084
2011-10-12,27731.370000000057
2011-10-13,33039.1800000001
2011-10-14,32124.68000000003
2011-10-16,22010.96000000007
2011-10-17,47005.23999999999
2011-10-18,37302.400000000176
2011-10-19,37333.51999999998
2011-10-20,61064.05999999961
2011-10-21,60417.260000000024
2011-10-23,12339.160000000013
2011-10-24,39315.27999999989
2011-10-25,36235.95000000005
2011-10-26,34435.32000000006
2011-10-27,55837.13999999998
2011-10-28,37290.57000000006
2011-10-30,34571.230000000105
2011-10-31,33048.57000000008
2011-11-01,29132.810000000176
2011-11-02,38734.69999999998
2011-11-03,60672.11000000001
2011-11-04,56099.23999999985
2011-11-06,42941.34000000018
2011-11-07,28779.240000000078
2011-11-08,38295.11999999999
2011-11-09,61489.17999999985
2011-11-10,70513.29000000001
2011-11-11,37081.37000000015
2011-11-13,28607.78000000015
2011-11-14,58777.70999999999
2011-11-15,47729.00000000002
2011-11-16,48439.760000000235
2011-11-17,55885.29999999982
2011-11-18,36751.25000000017
2011-11-20,30190.9200000002
2011-11-21,45333.12999999989
2011-11-22,49664.889999999934
2011-11-23,71979.92999999982
2011-11-24,38579.11000000017
2011-11-25,26674.66000000008
2011-11-27,17300.960000000057
2011-11-28,51831.67000000005
2011-11-29,48851.680000000095
2011-11-30,41481.23000000003
2011-12-01,44533.98999999982
2011-12-02,44713.68999999999
2011-12-04,20375.96000000006
2011-12-05,58202.20999999991
2011-12-06,46144.04000000018
2011-12-07,69354.20999999972
2011-12-08,50519.41
2011-12-09,184349.27999999997
